"","artist","song","text","Carolina","Laura"
"11","ABBA","Slipping Through My Fingers","Schoolbag in hand, she leaves home in the early morning  
Waving goodbye with an absent-minded smile  
I watch her go with a surge of that well known sadness  
And I have to sit down for a while  
The feeling that I'm losing her forever  
And without really entering her world  
I'm glad whenever I can share her laughter  
That funny little girl  
  
Slipping through my fingers all the time  
I try to capture every minute  
The feeling in it  
  
Slipping through my fingers all the time  
Do I really see what's in her mind  
Each time I think I'm close to knowing  
She keeps on growing  
Slipping through my fingers all the time  
  
Sleep in our eyes, her and me at the breakfast table  
Barely awake I let precious time go by  
Then when she's gone, there's that odd melancholy feeling  
And a sense of guilt I can't deny  
What happened to the wonderful adventures  
The places I had planned for us to go  
Well, some of that we did, but most we didn't  
And why, I just don't know  
  
Slipping through my fingers all the time  
I try to capture every minute  
The feeling in it  
  
Slipping through my fingers all the time  
Do I really see what's in her mind  
Each time I think I'm close to knowing  
She keeps on growing  
Slipping through my fingers all the time  
  
Sometimes I wish that I could freeze the picture  
And save it from the funny tricks of time  
(Slipping through my fingers)  
Slipping through my fingers all the time  
Schoolbag in hand, she leaves home in the early morning  
Waving goodbye with an absent-minded smile

",TRUE,FALSE
"12","ABBA","Take A Chance On Me","If you change your mind, I'm the first in line  
Honey I'm still free  
Take a chance on me  
If you need me, let me know, gonna be around  
If you've got no place to go, if you're feeling down  
If you're all alone when the pretty birds have flown  
Honey I'm still free  
Take a chance on me  
Gonna do my very best and it ain't no lie  
If you put me to the test, if you let me try  
  
Take a chance on me  
(That's all I ask of you honey)  
Take a chance on me  
  
We can go dancing, we can go walking, as long as we're together  
Listen to some music, maybe just talking, get to know you better  
'Cos you know I've got  
So much that I wanna do, when I dream I'm alone with you  
It's magic  
You want me to leave it there, afraid of a love affair  
But I think you know  
That I can't let go  
  
If you change your mind, I'm the first in line  
Honey I'm still free  
Take a chance on me  
If you need me, let me know, gonna be around  
If you've got no place to go, if you're feeling down  
If you're all alone when the pretty birds have flown  
Honey I'm still free  
Take a chance on me  
Gonna do my very best and it ain't no lie  
If you put me to the test, if you let me try  
  
Take a chance on me  
(Come on, give me a break will you?)  
Take a chance on me  
  
Oh you can take your time baby, I'm in no hurry, know I'm gonna get you  
You don't wanna hurt me, baby don't worry, I ain't gonna let you  
Let me tell you now  
My love is strong enough to last when things are rough  
It's magic  
You say that I waste my time but I can't get you off my mind  
No I can't let go  
'Cos I love you so  
  
If you change your mind, I'm the first in line  
Honey I'm still free  
Take a chance on me  
If you need me, let me know, gonna be around  
If you've got no place to go, if you're feeling down  
If you're all alone when the pretty birds have flown  
Honey I'm still free  
Take a chance on me  
Gonna do my very best, baby can't you see  
Gotta put me to the test, take a chance on me  
(Take a chance, take a chance, take a chance on me)  
  
Ba ba ba ba baa, ba ba ba ba baa  
Honey I'm still free  
Take a chance on me  
Gonna do my very best, baby can't you see  
Gotta put me to the test, take a chance on me  
(Take a chance, take a chance, take a chance on me)  
  
Ba ba ba ba baa, ba ba ba ba baa ba-ba  
Honey I'm still free  
Take a chance on me  

",TRUE,FALSE
"13","ABBA","The Name Of The Game","I've seen you twice, in a short time  
Only a week since we started  
It seems to me, for every time  
I'm getting more open-hearted  
  
I was an impossible case  
No-one ever could reach me  
But I think I can see in your face  
There's a lot you can teach me  
So I wanna know  
  
What's the name of the game?  
Does it mean anything to you?  
What's the name of the game?  
Can you feel it the way I do?  
Tell me please, 'cause I have to know  
I'm a bashful child, beginning to grow  
  
And you make me talk  
And you make me feel  
And you make me show  
What I'm trying to conceal  
If I trust in you, would you let me down?  
Would you laugh at me, if I said I care for you?  
Could you feel the same way too?  
I wanna know  
  
The name of the game  
  
I have no friends, no-one to see  
And I am never invited  
Now I am here, talking to you  
No wonder I get excited  
  
Your smile, and the sound of your voice  
And the way you see through me  
Got a feeling, you give me no choice  
But it means a lot to me  
So I wanna know  
  
What's the name of the game? (Your smile and the sound of your voice)  
Does it mean anything to you? (Got a feeling you give me no choice)  
(But it means a lot)  
What's the name of the game? (Your smile and the sound of your voice)  
Can you feel it the way I do?  
Tell me please, 'cause I have to know  
I'm a bashful child, beginning to grow  
  
And you make me talk  
And you make me feel  
And you make me show  
What I'm trying to conceal  
If I trust in you, would you let me down?  
Would you laugh at me, if I said I care for you?  
Could you feel the same way too?  
I wanna know  
Oh yes I wanna know  
  
The name of the game (I was an impossible case)  
Does it mean anything to you? (But I think I can see in your face)  
(That it means a lot)  
What's the name of the game? (Your smile and the sound of your voice)  
Can you feel it the way I do? (Got a feeling you give me no choice)  
(But it means a lot)  
What's the name of the game? (I was an impossible case)  
Does it mean anything to you? (But I think I can see in your face)  
(That it means a lot)  

",TRUE,FALSE
"14","ABBA","The Winner Takes It All","I don't want to talk  
About the things we've gone through  
Though it's hurting me  
Now it's history  
I've played all my cards  
And that's what you've done too  
Nothing more to say  
No more ace to play  
  
The winner takes it all  
The loser standing small  
Beside the victory  
That's my destiny  
  
I was in your arms  
Thinking I belonged there  
I figured it made sense  
Building me a fence  
Building me a home  
Thinking I'd be strong there  
But I was a fool  
Playing by the rules  
  
The gods may throw a dice  
Their minds as cold as ice  
And someone way down here  
Loses someone dear  
The winner takes it all  
The loser has to fall  
It's simple and it's plain  
Why should I complain.  
  
But tell me does she kiss  
Like I used to kiss you?  
Does it feel the same  
When she calls your name?  
Somewhere deep inside  
You must know I miss you  
But what can I say  
Rules must be obeyed  
  
The judges will decide  
The likes of me abide  
Spectators of the show  
Always staying low  
The game is on again  
A lover or a friend  
A big thing or a small  
The winner takes it all  
  
I don't want to talk  
If it makes you feel sad  
And I understand  
You've come to shake my hand  
I apologize  
If it makes you feel bad  
Seeing me so tense  
No self-confidence  
But you see  
The winner takes it all  
The winner takes it all

",TRUE,FALSE
"15","ABBA","Voulez Vous","People everywhere  
A sense of expectation hanging in the air  
Giving out a spark  
Across the room your eyes are glowing in the dark  
And here we go again, we know the start, we know the end  
Masters of the scene  
We've done it all before and now we're back to get some more  
You know what I mean  
  
Voulez-vous (ah-ha)  
Take it now or leave it (ah-ha)  
Now is all we get (ah-ha)  
Nothing promised, no regrets  
Voulez-vous (ah-ha)  
Ain't no big decision (ah-ha)  
You know what to do (ah-ha)  
La question c'est voulez-vous  
Voulez-vous  
  
I know what you think  
""The girl means business so I'll offer her a drink""  
Looking mighty proud  
I see you leave your table, pushing through the crowd  
I'm really glad you came, you know the rules, you know the game  
Master of the scene  
We've done it all before and now we're back to get some more  
You know what I mean  
  
Voulez-vous (ah-ha)  
Take it now or leave it (ah-ha)  
Now is all we get (ah-ha)  
Nothing promised, no regrets  
Voulez-vous (ah-ha)  
Ain't no big decision (ah-ha)  
You know what to do (ah-ha)  
La question c'est voulez-vous  
  
And here we go again, we know the start, we know the end  
Masters of the scene  
We've done it all before and now we're back to get some more  
You know what I mean  
  
Voulez-vous (ah-ha)  
Take it now or leave it (ah-ha)  
Now is all we get (ah-ha)  
Nothing promised, no regrets  
Voulez-vous (ah-ha)  
Ain't no big decision (ah-ha)  
You know what to do (ah-ha)  
La question c'est voulez-vous  
Voulez-vous  
  
Voulez-vous (ah-ha)  
Take it now or leave it (ah-ha)  
Now is all we get (ah-ha)  
Nothing promised, no regrets  
Voulez-vous (ah-ha)  
Ain't no big decision (ah-ha)  
You know what to do (ah-ha)  
I can still say voulez-vous  
  
Voulez-vous (ah-ha, ah-ha, ah-ha)  
Voulez-vous (ah-ha, ah-ha, ah-ha)  
Voulez-vous (ah-ha, ah-ha, ah-ha)  
Voulez-vous (ah-ha, ah-ha, ah-ha)  
  
Voulez-vous (ah-ha)  
Take it now or leave it (ah-ha)  
Now is all we get (ah-ha)  
Nothing promised, no regrets  
Voulez-vous (ah-ha)  
Ain't no big decision (ah-ha)  
You know what to do (ah-ha)  
I can still say voulez-vous

",TRUE,FALSE
"16","ABBA","Waterloo","My my  
At Waterloo Napoleon did surrender  
Oh yeah  
And I have met my destiny in quite a similiar way  
The history book on the shelf  
Is always repeating itself  
Waterloo - I was defeated, you won the war  
Waterloo - Promise to love you for ever more  
Waterloo - Couldn't escape if I wanted to  
Waterloo - Knowing my fate is to be with you  
Waterloo - Finally facing my Waterloo  
  
My my  
I tried to hold you back, but you were stronger  
Oh yeah  
And now it seems my only chance is giving up the fight  
And how could I ever refuse  
I feel like I win when I lose  
Waterloo - I was defeated, you won the war  
Waterloo - Promise to love you for ever more  
Waterloo - Couldn't escape if I wanted to  
Waterloo - Knowing my fate is to be with you  
Waterloo - Finally facing my Waterloo  
  
So how could I ever refuse  
I feel like I win when I lose  
Waterloo - I was defeated, you won the war  
Waterloo - Promise to love you for ever more  
Waterloo - Couldn't escape if I wanted to  
Waterloo - Knowing my fate is to be with you  
Waterloo - Finally facing my Waterloo

",FALSE,TRUE
"17","ABBA","We Wish You A Merry Christmas","We wish you a merry Christmas  
We wish you a merry Christmas  
We wish you a merry Christmas  
And a happy New Year  
Glad tidings we bring  
To you and your kin  
Glad tidings for Christmas  
And a happy New Year  
  
We want some milk and cookies  
We want some milk and cookies  
We want some milk and cookies  
Please bring it right here  
Glad tidings we bring  
To you and your kin  
Glad tidings for Christmas  
And a happy New Year  
  
We won't go until we get some  
We won't go until we get some  
We won't go until we get some  
So bring it out here  
Glad tidings we bring  
To you and your kin  
Glad tidings for Christmas  
And a happy New Year  
  
We wish you a Merry Christmas  
We wish you a Merry Christmas  
We wish you a Merry Christmas  
And a happy New Year  
Glad tidings we bring  
To you and your kin  
Glad tidings for Christmas  
And a happy New Year

",FALSE,TRUE
"18","Adele","All I Ask","[Verse 1]  
I will leave my heart at the door  
I won't say a word  
They've all been said before, you know  
So why don't we just play pretend  
Like we're not scared of what's coming next  
Or scared of having nothing left  
  
[Pre-Chorus]  
Look, don't get me wrong  
I know there is no tomorrow  
All I ask is  
  
[Chorus]  
If this is my last night with you  
Hold me like I'm more than just a friend  
Give me a memory I can use  
Take me by the hand while we do what lovers do  
It matters how this ends  
Cause what if I never love again?  
  
[Verse 2]  
I don't need your honesty  
It's already in your eyes and I'm sure my eyes, they speak for me  
No one knows me like you do  
And since you're the only one that matters, tell me who do I run to?  
  
[Pre-Chorus]  
Now, don't get me wrong  
I know there is no tomorrow  
All I ask is  
  
[Chorus]  
If this is my last night with you  
Hold me like I'm more than just a friend  
Give me a memory I can use  
Take me by the hand while we do what lovers do  
It matters how this ends  
Cause what if I never love again?  
  
[Bridge]  
Let this be our lesson in love  
Let this be the way we remember us  
I don't wanna be cruel or vicious  
And I ain't asking for forgiveness  
All I ask is...  
  
[Chorus]  
If this is my last night with you  
Hold me like I'm more than just a friend  
Give me a memory I can use  
Take me by the hand while we do what lovers do  
It matters how this ends  
Cause what if I never love again?

",TRUE,FALSE
"19","Adele","Chasing Pavements","I've made up my mind,  
Don't need to think it over,  
If I'm wrong I am right,  
Don't need to look no further,  
This ain't lust,  
I know this is love but,  
  
If I tell the world,  
I'll never say enough,  
Cause it was not said to you,  
And that's exactly what I need to do,  
If I'm in love with you,  
  
Should I give up,  
Or should I just keep chasing pavements?  
Even if it leads nowhere,  
Or would it be a waste?  
Even If I knew my place should I leave it there?  
Should I give up,  
Or should I just keep chasing pavements?  
Even if it leads nowhere  
  
I'd build myself up,  
And fly around in circles,  
Waiting as my heart drops,  
And my back begins to tingle  
Finally could this be it or  
  
Should I give up,  
Or should I just keep chasing pavements?  
Even if it leads nowhere,  
Or would it be a waste?  
Even if I knew my place should I leave it there?  
Should I give up,  
Or should I just keep chasing pavements?  
Even if it leads nowhere yeah  
  
Should I give up,  
Or should I just keep chasing pavements?  
Even if, it leads nowhere,  
Or would it be a waste?  
Even if I knew my place should I leave it there?  
Should I give up,  
Or should I just keep on chasing pavements?  
Should I just keep on chasing pavements? Or  
  
Should I give up,  
Or should I just keep chasing pavements?  
Even if it leads nowhere,  
Or would it be a waste?  
Even if I knew my place should I leave it there?  
Should I give up,  
Or should I just keep chasing pavements?  
Even if it leads nowhere

",TRUE,FALSE
"20","Adele","Cold Shoulder","You say it's all in my head  
And the things I think just don't make sense  
So where you been then? Don't go all coy  
Don't turn it round on me like it's my fault  
See I can see that look in your eyes  
The one that shoots me each and every time  
  
You grace me with your cold shoulder  
Whenever you look at me I wish I was her  
You shower me with words made of knives  
Whenever you look at me I wish I was her  
  
These days when I see you  
You make it look like I'm see-through  
Do tell me why you waste our time  
When your heart ain't in it, and you're not satisfied  
You know I know just how you feel  
I'm starting to find myself feeling that way too  
  
When you grace me with your cold shoulder  
Whenever you look at me I wish I was her  
You shower me with words made of knives  
Whenever you look at me I wish I was her  
  
Time and time again, I play the role of fool  
(Just for you)  
Even in the daylight when you think that  
(I don't see you)  
Try to look for things I hear but our eyes never find  
Though I do know how you play  
  
You grace me with your cold shoulder  
Whenever you look at me I wish I was her  
You shower me with words made of knives  
Whenever you look at me I wish I was her  
  
You grace me with your cold shoulder  
Whenever you look at me I wish I was her  
You shower me with words made of knives  
Whenever you look at me I wish I was her

",TRUE,FALSE
"21","Adele","Don't You Remember","When will I see you again?  
You left with no goodbye, not a single word was said  
No final kiss to seal anything  
I had no idea of the state we were in  
  
I know I have a fickle heart and a bitterness  
And a wandering eye, and a heaviness in my head  
But don't you remember, don't you remember?  
The reason you loved me before,  
Baby please remember me once more  
  
When was the last time you thought of me?  
Or have you completely erased me from your memories?  
I often think about where I went wrong  
The more I do, the less I know  
  
But I know I have a fickle heart and a bitterness  
And a wandering eye, and a heaviness in my head  
But don't you remember, don't you remember?  
The reason you loved me before,  
Baby please remember me once more  
  
Oh, I gave you the space so you could breathe  
I kept my distance so you would be free,  
In hope that you find the missing piece  
To bring you back to me  
  
Why don't you remember, don't you remember?  
The reason you loved me before  
Baby please remember me once more  
When will I see you again?

",TRUE,FALSE
"22","Adele","Hello","[Verse 1]  
Hello, it's me  
I was wondering if after all these years  
You'd like to meet, to go over  
Everything  
They say that time's supposed to heal ya  
But I ain't done much healing  
  
Hello, can you hear me?  
I'm in California dreaming about who we used to be  
When we were younger and free  
I've forgotten how it felt before the world fell at our feet  
  
[Pre-Chorus 1]  
There's such a difference between us  
And a million miles  
  
[Chorus]  
Hello from the other side  
I must've called a thousand times to tell you  
I'm sorry, for everything that I've done  
But when I call you never seem to be home  
  
Hello from the outside  
At least I can say that I've tried to tell you  
I'm sorry, for breaking your heart  
But it don't matter, it clearly doesn't tear you apart anymore  
  
[Verse 2]  
Hello, how are you?  
It's so typical of me to talk about myself  
I'm sorry, I hope that you're well  
Did you ever make it out of that town  
Where nothing ever happened?  
  
[Pre-Chorus 2]  
It's no secret  
That the both of us are running out of time  
  
[Chorus]  
Hello from the other side  
I must've called a thousand times to tell you  
I'm sorry, for everything that I've done  
But when I call you never seem to be home  
  
Hello from the outside  
At least I can say that I've tried to tell you  
I'm sorry, for breaking your heart  
But it don't matter, it clearly doesn't tear you apart anymore  
  
[Bridge]  
Ooooohh, anymore  
Ooooohh, anymore  
Ooooohh, anymore  
Anymore  
  
[Chorus]  
Hello from the other side  
I must've called a thousand times to tell you  
I'm sorry, for everything that I've done  
But when I call you never seem to be home  
  
Hello from the outside  
At least I can say that I've tried to tell you  
I'm sorry, for breaking your heart  
But it don't matter, it clearly doesn't tear you apart anymore

",TRUE,FALSE
